# Recoil energy (kev)        Event rate (events/gev)
  0.10000000000000001        299045907.06153923     
   1.1000000000000001        280744036.63462180     
   2.1000000000000001        263478993.00288421     
   3.1000000000000001        247196516.71557912     
   4.0999999999999996        231844950.89661726     
   5.0999999999999996        217375129.15098038     
   6.0999999999999996        203740267.57899189     
   7.0999999999999996        190895860.79278097     
   8.0999999999999996        178799581.82842982     
   9.0999999999999996        167411185.84712598     
   10.100000000000000        156692417.51874715     
   11.100000000000000        146606921.98176166     
   12.100000000000000        137120159.27392480     
   13.100000000000000        128199322.12916835     
   14.100000000000000        119813257.03711298     
   15.100000000000000        111932388.46289186     
   16.100000000000001        104528646.12635435     
   17.100000000000001        97575395.241251513     
   18.100000000000001        91047369.616649419     
   19.100000000000001        84920607.524560824     
   20.100000000000001        79172390.239624664     
   21.100000000000001        73781183.158572763     
   22.100000000000001        68726579.409190193     
   23.100000000000001        63989245.860506184     
   24.100000000000001        59550871.448010676     
   25.100000000000001        55394117.729789123     
   26.100000000000001        51502571.591588534     
   27.100000000000001        47860700.020956203     
   28.100000000000001        44453806.872738421     
   29.100000000000001        41267991.550365411     
   30.100000000000001        38290109.529489644     
   31.100000000000001        35507734.652672425     
   32.100000000000001        32909123.125925738     
   33.100000000000001        30483179.150016215     
   34.100000000000001        28219422.121507566     
   35.100000000000001        26107955.340566810     
   36.100000000000001        24139436.164579201     
   37.100000000000001        22305047.548603222     
   38.100000000000001        20596470.915650442     
   39.100000000000001        19005860.301696099     
   40.100000000000001        17525817.722204253     
   41.100000000000001        16149369.708795451     
   42.100000000000001        14869944.966488060     
   43.100000000000001        13681353.103705436     
   44.100000000000001        12577764.388960814     
   45.100000000000001        11553690.489812193     
   46.100000000000001        10603966.151312340     
   47.100000000000001        9723731.7727738507     
   48.100000000000001        8908416.8432182055     
   49.100000000000001        8153724.1973842354     
   50.100000000000001        7455615.0556360986     
   51.100000000000001        6810294.8125322405     
   52.100000000000001        6214199.5401947945     
   53.100000000000001        5663983.1739576971     
   54.100000000000001        5156505.3490656838     
   55.100000000000001        4688819.8584528798     
   56.100000000000001        4258163.7028420707     
   57.100000000000001        3861946.7055824981     
   58.100000000000001        3497741.6657781401     
   59.100000000000001        3163275.0243564020     
   60.100000000000001        2856418.0187871340     
   61.100000000000001        2575178.3031846280     
   62.100000000000001        2317692.0115122297     
   63.100000000000001        2082216.2425616733     
   64.099999999999994        1867121.9462961184     
   65.099999999999994        1670887.1920306897     
   66.099999999999994        1492090.7997754165     
   67.099999999999994        1329406.3168854662     
   68.099999999999994        1181596.3229523199     
   69.099999999999994        1047507.0466286023     
   70.099999999999994        926063.27880863950     
   71.099999999999994        816263.56728851807     
   72.099999999999994        717175.67870301276     
   73.099999999999994        627932.31418419862     
   74.099999999999994        547727.06580777362     
   75.099999999999994        475810.60148980282     
   76.099999999999994        411487.06656852743     
   77.099999999999994        354110.69085502834     
   78.099999999999994        303082.59046249499     
   79.099999999999994        257847.75422837172     
   80.099999999999994        217892.20502687010     
   81.099999999999994        182740.32673218189     
   82.099999999999994        151952.34803600246     
   83.099999999999994        125121.97474722555     
   84.099999999999994        101874.16260769349     
   85.099999999999994        81863.023046232105     
   86.099999999999994        64769.854664723338     
   87.099999999999994        50301.293605004030     
   88.099999999999994        38187.576284870505     
   89.099999999999994        28180.908315715478     
   90.099999999999994        20053.933724151309     
   91.099999999999994        13598.298895758742     
   92.099999999999994        8623.3059415275093     
   93.099999999999994        4954.6504570623547     
   94.099999999999994        2433.2389017813375     
   95.099999999999994        914.08107061261876     
   96.099999999999994        265.25336458060082     
   97.099999999999994        366.92878963356151     
   98.099999999999994        1110.4698255567241     
   99.099999999999994        2397.5805092606993     
   100.09999999999999        4139.5142695661998     
   101.09999999999999        6256.3342342263577     
   102.09999999999999        8676.2229047190413     
   103.09999999999999        11334.838260699265     
   104.09999999999999        14174.713514267130     
   105.09999999999999        17144.697884756315     
   106.09999999999999        20199.435907887906     
   107.09999999999999        23298.882929227952     
   108.09999999999999        26407.854561204062     
   109.09999999999999        29495.608005821057     
   110.09999999999999        32535.453261913870     
   111.09999999999999        35504.392346614601     
   112.09999999999999        38382.784765896060     
   113.09999999999999        41154.037568912107     
   114.09999999999999        43804.318415571950     
   115.09999999999999        46322.290176626528     
   116.09999999999999        48698.865670747982     
   117.09999999999999        50926.981223826209     
   118.09999999999999        53001.387812243331     
   119.09999999999999        54918.458624385108     
   120.09999999999999        56676.011943312420     
   121.09999999999999        58273.148318529442     
   122.09999999999999        59710.101056325315     
   123.09999999999999        60988.099116381905     
   124.09999999999999        62109.241557437461     
   125.09999999999999        63076.382726866730     
   126.09999999999999        63893.027438281773     
   127.09999999999999        64563.235427798623     
   128.09999999999999        65091.534423565092     
   129.09999999999999        65482.841204672943     
   130.09999999999999        65742.390064775478     
   131.09999999999999        65875.668132718667     
   132.09999999999999        65888.357037420865     
   133.09999999999999        65786.280437124587     
   134.09999999999999        65575.356964218314     
   135.09999999999999        65261.558166044226     
   136.09999999999999        64850.871049704940     
   137.09999999999999        64349.264864797849     
   138.09999999999999        63762.661782484814     
   139.09999999999999        63096.911152264358     
   140.09999999999999        62357.767039470360     
   141.09999999999999        61550.868766853142     
   142.09999999999999        60681.724202719648     
   143.09999999999999        59755.695556079379     
   144.09999999999999        58777.987456105562     
   145.09999999999999        57753.637109069896     
   146.09999999999999        56687.506340759537     
   147.09999999999999        55584.275346332855     
   148.09999999999999        54448.437982630625     
   149.09999999999999        53284.298450203001     
   150.09999999999999        52095.969223788903     
   151.09999999999999        50887.370100695109     
   152.09999999999999        49662.228246599610     
   153.09999999999999        48424.079127647732     
   154.09999999999999        47176.268226533713     
   155.09999999999999        45921.953448412234     
   156.09999999999999        44664.108130171044     
   157.09999999999999        43405.524573704832     
   158.09999999999999        42148.818030501418     
   159.09999999999999        40896.431071050116     
   160.09999999999999        39650.638278339327     
   161.09999999999999        38413.551210100326     
   162.09999999999999        37187.123579430132     
   163.09999999999999        35973.156608074125     
   164.09999999999999        34773.304510951115     
   165.09999999999999        33589.080074491620     
   166.09999999999999        32421.860295070939     
   167.09999999999999        31272.892047229067     
   168.09999999999999        30143.297754553831     
   169.09999999999999        29034.081039015091     
   170.09999999999999        27946.132327252704     
   171.09999999999999        26880.234394799216     
   172.09999999999999        25837.067831527143     
   173.09999999999999        24817.216413702077     
   174.09999999999999        23821.172369976204     
   175.09999999999999        22849.341530423528     
   176.09999999999999        21902.048349348330     
   177.09999999999999        20979.540794087814     
   178.09999999999999        20081.995093382582     
   179.09999999999999        19209.520340130231     
   180.09999999999999        18362.162944456162     
   181.09999999999999        17539.910934062096     
   182.09999999999999        16742.698099725705     
   183.09999999999999        15970.407984665726     
   184.09999999999999        15222.877717231913     
   185.09999999999999        14499.901687048592     
   186.09999999999999        13801.235065345832     
   187.09999999999999        13126.597170740759     
   188.09999999999999        12475.674682208624     
   189.09999999999999        11848.124701396098     
   190.09999999999999        11243.577666796940     
   191.09999999999999        10661.640122626521     
   192.09999999999999        10101.897345503083     
   193.09999999999999        9563.9158322789190     
   194.09999999999999        9047.2456525621055     
   195.09999999999999        8551.4226696258684     
   196.09999999999999        8075.9706335449382     
   197.09999999999999        7620.4031504912018     
   198.09999999999999        7184.2255322089295     
   199.09999999999999        6766.9365297394243     
   200.09999999999999        6368.0299555029860     
   201.09999999999999        5986.9961978605788     
   202.09999999999999        5623.3236322782386     
   203.09999999999999        5276.4999331989729     
   204.09999999999999        4946.0132907003044     
   205.09999999999999        4631.3535359715806     
   206.09999999999999        4332.0131795948519     
   207.09999999999999        4047.4883665503821     
   208.09999999999999        3777.2797517998538     
   209.09999999999999        3520.8933002209292     
   210.09999999999999        3277.8410145879448     
   211.09999999999999        3047.6415952015891     
   212.09999999999999        2829.8210346812120     
   213.09999999999999        2623.9131513359698     
   214.09999999999999        2429.4600644331144     
   215.09999999999999        2246.0126145801000     
   216.09999999999999        2073.1307323363076     
   217.09999999999999        1910.3837580641059     
   218.09999999999999        1757.3507159275641     
   219.09999999999999        1613.6205448399858     
   220.09999999999999        1478.7922890594739     
   221.09999999999999        1352.4752510267838     
   222.09999999999999        1234.2891089365794     
   223.09999999999999        1123.8640014329987     
   224.09999999999999        1020.8405817182125     
   225.09999999999999        924.87004326522015     
   226.09999999999999        835.61411922814841     
   227.09999999999999        752.74505754913832     
   228.09999999999999        675.94557366683523     
   229.09999999999999        604.90878264160540     
   230.09999999999999        539.33811242303932     
   231.09999999999999        478.94719989997634     
   232.09999999999999        423.45977128901580     
   233.09999999999999        372.60950833612986     
   234.09999999999999        326.13990172740267     
   235.09999999999999        283.80409302874057     
   236.09999999999999        245.36470640015850     
   237.09999999999999        210.59367125996238     
   238.09999999999999        179.27203700472933     
   239.09999999999999        151.18978082559136     
   240.09999999999999        126.14560959728144     
   241.09999999999999        103.94675675584837     
   242.09999999999999        84.408775022036608     
   243.09999999999999        67.355325771315364     
   244.09999999999999        52.617965797829328     
   245.09999999999999        40.035932168018689     
   246.09999999999999        29.455925810577156     
   247.09999999999999        20.731894442553564     
   248.09999999999999        13.724815386563620     
   249.09999999999999        8.3024787916823950     
   250.09999999999999        4.3392717297982450     
   251.09999999999999        1.7159636009769090     
   252.09999999999999       0.31949324459977507     
   253.09999999999999        4.2758118469485414E-002
   254.09999999999999       0.78440587519690952     
   255.09999999999999        2.4486286340963006     
   256.10000000000002        4.9449602174295224     
   257.10000000000002        8.1880765921359124     
   258.10000000000002        12.097599731970778     
   259.10000000000002        16.597905090443490     
   260.10000000000002        21.617932851652292     
   261.10000000000002        27.091003104545006     
   262.10000000000002        32.954635065499531     
   263.10000000000002        39.150370455240278     
   264.10000000000002        45.623601118096097     
   265.10000000000002        52.323400954893856     
   266.10000000000002        59.202362225443622     
   267.10000000000002        66.216436261759569     
   268.10000000000002        73.324778620112497     
   269.10000000000002        80.489598687168922     
   270.10000000000002        87.676013744297208     
   271.10000000000002        94.851907483240907     
   272.10000000000002        101.98779295667086     
   273.10000000000002        109.05667993818925     
   274.10000000000002        116.03394665803737     
   275.10000000000002        122.89721587332401     
   276.10000000000002        129.62623522474905     
   277.10000000000002        136.20276182564348     
   278.10000000000002        142.61045102353174     
   279.10000000000002        148.83474926944425     
   280.10000000000002        154.86279102582802     
   281.10000000000002        160.68329963982828     
   282.10000000000002        166.28649210535281     
   283.10000000000002        171.66398763423942     
   284.10000000000002        176.80871995428620     
   285.10000000000002        181.71485324977007     
   286.10000000000002        186.37770165799409     
   287.10000000000002        190.79365223420794     
   288.10000000000002        194.96009129595896     
   289.10000000000002        198.87533405687202     
   290.10000000000002        202.53855745959410     
   291.10000000000002        205.94973611697182     
   292.10000000000002        209.10958127063572     
   293.10000000000002        212.01948267615350     
   294.10000000000002        214.68145332428753     
   295.10000000000002        217.09807690830846     
   296.10000000000002        219.27245794807695     
   297.10000000000002        221.20817448235599     
   298.10000000000002        222.90923324170998     
   299.10000000000002        224.38002721563555     
   300.10000000000002        225.62529552845820     
   301.10000000000002        226.65008554013804     
   302.10000000000002        227.45971708926862     
   303.10000000000002        228.05974879717496     
   304.10000000000002        228.45594635350602     
   305.10000000000002        228.65425270526285     
   306.10000000000002        228.66076007303937     
   307.10000000000002        228.48168371963902     
   308.10000000000002        228.12333739840048     
   309.10000000000002        227.59211040987958     
   310.10000000000002        226.89444619772499     
   311.10000000000002        226.03682241609673     
   312.10000000000002        225.02573240300296     
   313.10000000000002        223.86766799573658     
   314.10000000000002        222.56910362624581     
   315.10000000000002        221.13648163642983     
   316.10000000000002        219.57619875488331     
   317.10000000000002        217.89459367864612     
   318.10000000000002        216.09793570514384     
   319.10000000000002        214.19241436152083     
   320.10000000000002        212.18412998007909     
   321.10000000000002        210.07908517053230     
   322.10000000000002        207.88317714135664     
   323.10000000000002        205.60219082431465     
   324.10000000000002        203.24179275778661     
   325.10000000000002        200.80752568639252     
   326.10000000000002        198.30480383579996     
   327.10000000000002        195.73890882329763     
   328.10000000000002        193.11498616628779     
   329.10000000000002        190.43804235229618     
   330.10000000000002        187.71294243563960     
   331.10000000000002        184.94440812733231     
   332.10000000000002        182.13701634617465     
   333.10000000000002        179.29519820043637     
   334.10000000000002        176.42323837077498     
   335.10000000000002        173.52527486644331     
   336.10000000000002        170.60529912798461     
   337.10000000000002        167.66715645101357     
   338.10000000000002        164.71454670665557     
   339.10000000000002        161.75102533556540     
   340.10000000000002        158.78000459346447     
   341.10000000000002        155.80475502722814     
   342.10000000000002        152.82840716165322     
   343.10000000000002        149.85395337795882     
   344.10000000000002        146.88424996617903     
   345.10000000000002        143.92201933437951     
   346.10000000000002        140.96985235872708     
   347.10000000000002        138.03021085915651     
   348.10000000000002        135.10543018634473     
   349.10000000000002        132.19772190640231     
   350.10000000000002        129.30917657059391     
   351.10000000000002        126.44176655804188     
   352.10000000000002        123.59734898014472     
   353.10000000000002        120.77766863612776     
   354.10000000000002        117.98436100978211     
   355.10000000000002        115.21895529811349     
   356.10000000000002        112.48287746320463     
   357.10000000000002        109.77745329917603     
   358.10000000000002        107.10391150672105     
   359.10000000000002        104.46338676814749     
   360.10000000000002        101.85692281647297     
   361.10000000000002        99.285475492487009     
   362.10000000000002        96.749915784211268     
   363.10000000000002        94.251032843672732     
   364.10000000000002        91.789536976205952     
   365.10000000000002        89.366062598013627     
   366.10000000000002        86.981171157984548     
   367.10000000000002        84.635354020251455     
   368.10000000000002        82.329035304152200     
   369.10000000000002        80.062574678743843     
   370.10000000000002        77.836270109167359     
   371.10000000000002        75.650360552585738     
   372.10000000000002        73.505028601571595     
   373.10000000000002        71.400403073159382     
   374.10000000000002        69.336561541976977     
   375.10000000000002        67.313532816103546     
   376.10000000000002        65.331299354517455     
   377.10000000000002        63.389799625205448     
   378.10000000000002        61.488930403158840     
   379.10000000000002        59.628549007727152     
   380.10000000000002        57.808475478849374     
   381.10000000000002        56.028494691980043     
   382.10000000000002        54.288358411526900     
   383.10000000000002        52.587787282866678     
   384.10000000000002        50.926472763045446     
   385.10000000000002        49.304078990426085     
   386.10000000000002        47.720244593642668     
   387.10000000000002        46.174584440318320     
   388.10000000000002        44.666691326080958     
   389.10000000000002        43.196137604500649     
   390.10000000000002        41.762476758666004     
   391.10000000000002        40.365244915142561     
   392.10000000000002        39.003962301157678     
   393.10000000000002        37.678134645890140     
   394.10000000000002        36.387254526795068     
   395.10000000000002        35.130802661951215     
   396.10000000000002        33.908249149433665     
   397.10000000000002        32.719054654778198     
   398.10000000000002        31.562671547605802     
   399.10000000000002        30.438544988524431     
   400.10000000000002        29.346113967427616     
   401.10000000000002        28.284812294340753     
   402.10000000000002        27.254069543983135     
   403.10000000000002        26.253311955194938     
   404.10000000000002        25.281963286439144     
   405.10000000000002        24.339445628538709     
   406.10000000000002        23.425180175850954     
   407.10000000000002        22.538587957055256     
   408.10000000000002        21.679090526750670     
   409.10000000000002        20.846110619034672     
   410.10000000000002        20.039072764242530     
   411.10000000000002        19.257403870005739     
   412.10000000000002        18.500533767796519     
   413.10000000000002        17.767895726088419     
   414.10000000000002        17.058926931277846     
   415.10000000000002        16.373068937470343     
   416.10000000000002        15.709768086242724     
   417.10000000000002        15.068475897461338     
   418.10000000000002        14.448649432224277     
   419.10000000000002        13.849751628976955     
   420.10000000000002        13.271251613830602     
   421.10000000000002        12.712624986096836     
   422.10000000000002        12.173354080023143     
   423.10000000000002        11.652928203705773     
   424.10000000000002        11.150843856119794     
   425.10000000000002        10.666604923202208     
   426.10000000000002        10.199722853885843     
   427.10000000000002        9.7497168169696522     
   428.10000000000002        9.3161138396874428     
   429.10000000000002        8.8984489288112396     
   430.10000000000002        8.4962651751067106     
   431.10000000000002        8.1091138419332580     
   432.10000000000002        7.7365544387614094     
   433.10000000000002        7.3781547803561480     
   434.10000000000002        7.0334910323517796     
   435.10000000000002        6.7021477439257868     
   436.10000000000002        6.3837178682528535     
   437.10000000000002        6.0778027714002700     
   438.10000000000002        5.7840122303072796     
   439.10000000000002        5.5019644204624072     
   440.10000000000002        5.2312858938838351     
   441.10000000000002        4.9716115479713858     
   442.10000000000002        4.7225845857972990     
   443.10000000000002        4.4838564683623918     
   444.10000000000002        4.2550868593450577     
   445.10000000000002        4.0359435628340679     
   446.10000000000002        3.8261024545295745     
   447.10000000000002        3.6252474068698262     
   448.10000000000002        3.4330702085296361     
   449.10000000000002        3.2492704787136848     
   450.10000000000002        3.0735555766532840     
   451.10000000000002        2.9056405066984907     
   452.10000000000002        2.7452478193791978     
